customer,recency,frequency,monetary,R,F,M,RFM Score
Emerson Schroeder,24,2,100,4,4,4,444
Emerson Zboncak,75,1,68,1,1,3,113
Emery Deckow,63,1,31,2,1,1,211
Emery Hansen,21,1,63,4,1,3,413
Emery Kemmer,37,1,31,3,1,1,311
Emery Morar,83,1,71,1,1,3,113
Emery Ondricka,6,1,67,5,1,3,513
Emery Wolf,34,1,67,3,1,3,313
Emett Runte,14,4,257,4,5,5,455
Emil Baumbach,5,1,33,5,1,1,511
Emil Zieme,12,5,226,4,5,5,455
Emilee McKenzie,82,1,35,1,1,1,111
Emilia Abshire,39,1,41,3,1,2,312
Emilia Lindgren,88,1,57,1,1,2,112
Emilia Murazik,6,2,99,5,4,4,544
Emiliano Bahringer,40,3,153,3,5,5,355
Emilie Schimmel,35,4,181,3,5,5,355
Emilie Wisoky,79,2,99,1,4,4,144
Emilio Buckridge,47,1,77,2,1,4,214
Emilio Shanahan,15,2,126,4,4,5,445
Emily Lindgren,68,1,78,1,1,4,114
Emily Schmeler,85,1,57,1,1,2,112
Emma Mante MD,28,1,37,3,1,1,311
Emma Schaefer,10,1,58,5,1,2,512
Emmalee Klein,6,4,228,5,5,5,555
Emmaline Brakus,6,4,228,5,5,5,555
Emmaline Larkin,59,3,186,2,5,5,255
Emmaline Stark MD,50,1,66,2,1,3,213
Emmer Hills,32,5,215,3,5,5,355
Emmet Deckow,6,1,77,5,1,4,514
Emmet Rowe,47,1,70,2,1,3,213
Emmett Lang,84,1,36,1,1,1,111
Emmett Marvin,35,4,177,3,5,5,355
Emmett Robel,15,1,22,4,1,1,411
Emmett Stark,33,1,75,3,1,3,313
Emmit Cummerata III,52,3,147,2,5,5,255
Emmitt Cummings,33,1,49,3,1,2,312
Emmitt Feeney,47,1,67,2,1,3,213
Emmons Mraz,72,1,61,1,1,3,113
Emmons Orn I,17,1,47,4,1,2,412
Emmons Schiller,1,2,47,5,4,2,542
Emmons Senger,87,1,22,1,1,1,111
Emogene Cummerata,47,1,39,2,1,1,211
Emogene O'Reilly,5,1,57,5,1,2,512
Emory Koepp,81,1,39,1,1,1,111
Emory Upton,81,1,52,1,1,2,112
Emory Ward,43,1,80,3,1,4,314
Emry Haley,21,1,46,4,1,2,412
Ena Macejkovic,15,2,91,4,4,4,444
Enid Reinger,13,1,66,4,1,3,413
Ennis Fay II,70,1,44,1,1,2,112
Ennis Murphy DDS,16,3,118,4,5,4,454
Ennis Towne,86,1,54,1,1,2,112
Enos Emard,57,1,49,2,1,2,212
Enos VonRueden,5,2,91,5,4,4,544
Enzo Cruickshank,28,1,20,3,1,1,311
Enzo DuBuque,64,1,58,2,1,2,212
Enzo Jerde,53,2,148,2,4,5,245
Enzo Kohler MD,29,1,33,3,1,1,311
Enzo Nikolaus,89,1,73,1,1,3,113
Eola Conroy MD,39,2,140,3,4,5,345
Eola Leffler,38,1,65,3,1,3,313
Ephraim Kerluke,28,2,119,3,4,4,344
Ephraim Stehr,53,1,69,2,1,3,213
Ephram Gorczany,54,1,35,2,1,1,211
Ephram Koss III,72,1,30,1,1,1,111
Epifanio Kozey,25,1,64,4,1,3,413
Epifanio Lindgren MD,9,3,119,5,5,4,554
Epifanio Mante,34,3,132,3,5,5,355
Epsie Gaylord,59,1,32,2,1,1,211
Epsie Keeling,46,1,38,2,1,1,211
Epsie Will,52,3,134,2,5,5,255
Era Anderson,7,3,113,5,5,4,554
Erasmo Weissnat,28,1,62,3,1,3,313
Erasmus Rowe,87,1,36,1,1,1,111
Erastus Grant,21,3,201,4,5,5,455
Erastus Kling,1,4,270,5,5,5,555
Erastus Macejkovic,8,1,73,5,1,3,513
Erastus Pfannerstill,65,1,51,2,1,2,212
Erastus Wisoky II,21,3,132,4,5,5,455
Erby Bashirian,1,1,75,5,1,3,513
Erby Bednar,50,1,62,2,1,3,213
Erby Cremin,47,1,22,2,1,1,211
Erby Rolfson,56,1,64,2,1,3,213
Eric Casper,11,1,67,4,1,3,413
Eric Johnston,49,2,81,2,4,4,244
Erica Lockman,4,1,28,5,1,1,511
Erich Langosh,46,2,145,2,4,5,245
Erich Ortiz,9,2,105,5,4,4,544
Erick Okuneva,4,1,47,5,1,2,512
Ericka Koepp MD,77,1,47,1,1,2,112
Ericka Runolfsson,54,1,30,2,1,1,211
Erie Champlin IV,57,1,67,2,1,3,213
Erik Stiedemann,20,3,110,4,5,4,454
Erika Marquardt,47,2,104,2,4,4,244
Erin Monahan,11,2,83,4,4,4,444
Eris Wiegand DDS,66,1,69,2,1,3,213
Erla Keebler,67,1,78,2,1,4,214
Erla Schulist,47,2,130,2,4,5,245
Erland Shanahan,68,1,40,1,1,2,112
Erle Ankunding,59,1,49,2,1,2,212
Erlinda Wolff,1,1,56,5,1,2,512
Erlinda Zulauf,9,2,74,5,4,3,543
Erling Johnson,46,1,68,2,1,3,213
Erling Schaefer,54,2,119,2,4,4,244
Ermine Adams,3,1,34,5,1,1,511
Ermine Luettgen,43,1,77,3,1,4,314
Erna Metz,73,1,63,1,1,3,113
Erna Predovic,46,1,40,2,1,2,212
Ernest Schaefer,62,2,129,2,4,5,245
Ernestina Sauer,23,3,117,4,5,4,454
Ernestine D'Amore,76,1,39,1,1,1,111
Ernestine Stamm DDS,4,1,20,5,1,1,511
Ernesto Koss,48,2,74,2,4,3,243
Ernesto Ratke,81,2,122,1,4,4,144
Ernie Kuphal,46,1,37,2,1,1,211
Ernie Lind,6,1,35,5,1,1,511
Errol Bogisich,2,2,90,5,4,4,544
Errol Tremblay Sr.,64,2,85,2,4,4,244
Esequiel Kirlin I,32,3,89,3,5,4,354
Esker Cormier,4,1,57,5,1,2,512
Esker Terry,27,2,60,3,4,3,343
Esley Brakus,8,1,59,5,1,3,513
Esmeralda Price DVM,37,3,113,3,5,4,354
Esmeralda Schimmel,12,2,139,4,4,5,445
Essence Gislason,30,1,45,3,1,2,312
Essence Graham,42,1,33,3,1,1,311
Essence Luettgen,18,4,259,4,5,5,455
Essence Metz DDS,16,1,77,4,1,4,414
Essex Abshire,60,1,78,2,1,4,214
Essie Herman,54,2,85,2,4,4,244
Essie McGlynn MD,6,4,213,5,5,5,555
Essie Reynolds MD,75,2,115,1,4,4,144
Essie Stiedemann,89,1,57,1,1,2,112
Esta Langworth,12,4,238,4,5,5,455
Esteban Mertz,5,3,103,5,5,4,554
Estefani Abshire,84,1,22,1,1,1,111
Estefani Murray DVM,67,1,79,2,1,4,214
Estefania VonRueden,8,3,167,5,5,5,555
Estefany Eichmann,15,1,26,4,1,1,411
Estel Sauer,4,5,288,5,5,5,555
Estela Bayer,26,3,142,4,5,5,455
Estela Koelpin,3,5,257,5,5,5,555
Estell Bahringer,6,3,134,5,5,5,555
Estelle Kuhn,42,2,78,3,4,4,344
Ester Harber MD,12,3,129,4,5,5,455
Estes Donnelly,75,1,54,1,1,2,112
Estes Emmerich,10,2,72,5,4,3,543
Estes Goldner,3,1,70,5,1,3,513
Estes Heaney I,19,1,80,4,1,4,414
Estes Mosciski,46,1,26,2,1,1,211
Estes Schaefer,46,1,61,2,1,3,213
Estevan Koss,71,1,68,1,1,3,113
Estevan Kunde,57,2,114,2,4,4,244
Esther Becker,74,1,80,1,1,4,114
Esther Collier,15,2,65,4,4,3,443
Esther Howe PhD,87,2,62,1,4,3,143
Esther Wilkinson,81,3,196,1,5,5,155
Esther Will,5,1,73,5,1,3,513
Estie Cummerata,9,3,149,5,5,5,555
Estill Spencer,9,1,61,5,1,3,513
Eston Abernathy,13,1,29,4,1,1,411
Eston Corwin,3,2,125,5,4,5,545
Eston Leuschke,78,1,75,1,1,3,113
Eston Rempel,20,5,246,4,5,5,455
Estrella Schowalter,4,1,38,5,1,1,511
Etha Grant,80,1,79,1,1,4,114
Etha Raynor,6,3,189,5,5,5,555
Ethan Conroy,52,1,34,2,1,1,211
Ethan Kilback,11,2,115,4,4,4,444
Ethan Medhurst,56,1,49,2,1,2,212
Ethan Murazik,21,1,66,4,1,3,413
Ethel Jones,83,1,76,1,1,4,114
Ethelyn Lang,4,1,54,5,1,2,512
Ethelyn Mante,5,1,62,5,1,3,513
Ethen Huel,6,2,82,5,4,4,544
Ethen Kerluke,12,2,91,4,4,4,444
Ethen Schamberger,43,1,44,3,1,2,312
Ether Daugherty,45,2,43,3,4,2,342
Ether Glover,11,2,145,4,4,5,445
Ether Jacobs,30,1,20,3,1,1,311
Ethyl Bartoletti,6,6,370,5,5,5,555
Ethyl Botsford,69,1,36,1,1,1,111
Ethyl O'Connell,46,1,40,2,1,2,212
Ethyle Champlin DVM,4,2,132,5,4,5,545
Etna Crona,5,2,90,5,4,4,544
Etta Franecki MD,18,1,60,4,1,3,413
Etta Towne,4,3,162,5,5,5,555
Etter Schamberger MD,4,1,66,5,1,3,513
Eudora Dickens,6,3,185,5,5,5,555
Eudora Shields,46,1,59,2,1,3,213
Eugene Hauck,4,2,81,5,4,4,544
Eugenie Conn PhD,46,1,77,2,1,4,214
Eugenie Franecki,81,1,75,1,1,3,113
Eugenio Bogan,84,3,212,1,5,5,155
Eugenio Greenholt,68,1,22,1,1,1,111
Eugenio Kuhlman,40,2,125,3,4,5,345
Eugenio Ratke,38,2,115,3,4,4,344
Eula Streich MD,47,1,35,2,1,1,211
Eulah Terry,2,4,161,5,5,5,555
Eulalie Christiansen,25,2,142,4,4,5,445
Eulalie Ferry DVM,47,1,22,2,1,1,211
Eulalie Kemmer,7,1,61,5,1,3,513
Euna Harris DDS,60,1,74,2,1,3,213
Eura Bernhard,72,2,91,1,4,4,144
Eura Towne,12,2,100,4,4,4,444
Eustace McClure,16,1,70,4,1,3,413
Eustace Rau,46,1,22,2,1,1,211
Eva Grady,46,1,26,2,1,1,211
Eva Jacobson,58,1,53,2,1,2,212
Evaline Crona,62,1,48,2,1,2,212
Evalyn Hessel,66,2,72,2,4,3,243
Evander Kohler,19,1,51,4,1,2,412
Evander Nikolaus I,26,1,42,4,1,2,412
Evangelina Goldner,74,1,49,1,1,2,112
Evangelina Ryan DVM,3,2,107,5,4,4,544
Evangeline Beier,63,4,250,2,5,5,255
Evangeline Fadel,12,2,92,4,4,4,444
Evangeline Larson DVM,79,1,26,1,1,1,111
Evans Armstrong,4,1,43,5,1,2,512
Evans Oberbrunner,36,1,51,3,1,2,312
Evans Weissnat,56,1,47,2,1,2,212
Eve Fahey DVM,72,1,42,1,1,2,112
Eve Harris,34,2,87,3,4,4,344
Evelin Treutel,79,1,46,1,1,2,112
Eveline Lind,46,2,122,2,4,4,244
Evelyn Armstrong,73,1,41,1,1,2,112
Evelyn Cartwright,78,2,113,1,4,4,144
Evelyn Johnson,20,1,57,4,1,2,412
Evelyn Kozey,47,3,191,2,5,5,255
Evelyn McCullough,61,1,51,2,1,2,212
Evelyn Schinner,53,2,107,2,4,4,244
Evelyne Hansen,28,1,53,3,1,2,312
Evelyne Hauck PhD,64,1,69,2,1,3,213
Evelynn Dietrich,31,2,105,3,4,4,344
Ever Moore,69,1,68,1,1,3,113
Everet Bednar DDS,11,2,152,4,4,5,445
Evert Eichmann,85,2,51,1,4,2,142
Evertt Kulas,7,6,239,5,5,5,555
Evertt Schmidt,51,1,24,2,1,1,211
Evette Dare,12,1,75,4,1,3,413
Evette Russel,13,1,46,4,1,2,412
Evette VonRueden,16,1,53,4,1,2,412
Evia Bednar,21,1,39,4,1,1,411
Evia Gusikowski,39,3,122,3,5,4,354
Evia Hane,66,1,47,2,1,2,212
Evie Rosenbaum,13,2,76,4,4,4,444
Evita Hayes,20,3,194,4,5,5,455
Evonne Abshire MD,84,1,47,1,1,2,112
Evonne Johns,51,2,101,2,4,4,244
Ewald Pacocha,77,1,25,1,1,1,111
Ewald Swaniawski,47,1,56,2,1,2,212
Ewart Adams,6,2,77,5,4,4,544
Ewart Haag,87,1,56,1,1,2,112
Ewart Luettgen,28,1,77,3,1,4,314
Ewart Marvin IV,45,3,174,3,5,5,355
Ewell Heller,28,3,139,3,5,5,355
Ewin Hauck,75,1,36,1,1,1,111
Ewin Torphy,5,2,88,5,4,4,544
Exie Gutmann,15,3,165,4,5,5,455
Exie Shields,84,1,26,1,1,1,111
Exie Von,14,2,67,4,4,3,443
Ezell Cartwright MD,47,1,51,2,1,2,212
Ezequiel Greenholt,14,1,60,4,1,3,413
Ezra Cole,2,1,63,5,1,3,513
Ezra Shields,47,1,21,2,1,1,211
Ezzard Bernhard,68,1,44,1,1,2,112
Ezzard Yundt,2,1,34,5,1,1,511
Fabian Goodwin,43,1,69,3,1,3,313
Fabian Johnston Jr.,5,6,216,5,5,5,555
Fabian Stanton,6,1,45,5,1,2,512
Fabian Yost V,36,5,274,3,5,5,355
Fabiola Kilback,8,4,223,5,5,5,555
Fabiola Mayer,82,1,73,1,1,3,113
Fae Nikolaus,39,3,177,3,5,5,355
Fairy Reynolds MD,42,3,126,3,5,5,355
Faith Jacobi,45,2,103,3,4,4,344
Fannie Watsica,31,1,31,3,1,1,311
Fanny Aufderhar,56,2,92,2,4,4,244
Fanny King,1,4,216,5,5,5,555
Fanny Oberbrunner MD,12,3,123,4,5,4,454
Fannye Harber,11,1,66,4,1,3,413
Fannye Kshlerin DDS,85,1,39,1,1,1,111
Fannye Metz,5,1,51,5,1,2,512
Farah Smith,11,2,89,4,4,4,444
Faron Jenkins,50,1,25,2,1,1,211
Faron Jones,35,1,74,3,1,3,313
Farrah Bernier,2,1,30,5,1,1,511
Farris Kuhn,55,1,33,2,1,1,211
Farris Lynch PhD,19,2,98,4,4,4,444
Farris Sauer,5,4,112,5,5,4,554
Fate Bahringer,19,1,68,4,1,3,413
Fate Bailey,15,3,91,4,5,4,454
Fate Considine,43,1,40,3,1,2,312
Fate Moen,80,2,100,1,4,4,144
Fatima Paucek DVM,19,1,59,4,1,3,413
Fatima Zboncak,45,2,97,3,4,4,344
Faustino Gislason,19,1,46,4,1,2,412
Fawn Bechtelar,23,2,77,4,4,4,444
Fayette Keeling,68,1,73,1,1,3,113
Fayette Schiller,12,1,59,4,1,3,413
Fed Altenwerth,40,1,48,3,1,2,312
Federico Abernathy,6,5,287,5,5,5,555
Felecia Hettinger DDS,11,2,140,4,4,5,445
Felecia Jacobs MD,11,1,67,4,1,3,413
Felice Jenkins,4,19,974,5,5,5,555
Felicia Friesen,68,2,70,1,4,3,143
Felicie Rosenbaum,53,1,62,2,1,3,213
Felicie Windler,83,1,72,1,1,3,113
Felicitas Bechtelar,64,1,29,2,1,1,211
Felicitas D'Amore,18,1,75,4,1,3,413
Felipe Dooley,14,3,168,4,5,5,455
Felipe Mayert,47,1,69,2,1,3,213
Felipe Waters,36,1,67,3,1,3,313
Felipe Wisozk,57,1,36,2,1,1,211
Felisha Dach MD,11,1,21,4,1,1,411
Felisha Hamill,39,1,74,3,1,3,313
Fenton Haley,5,1,68,5,1,3,513
Fenton Legros,62,2,113,2,4,4,244
Fenton Yost PhD,4,2,139,5,4,5,545
Ferd Cummings,4,2,58,5,4,2,542
Fern Parisian,79,1,32,1,1,1,111
Fernanda Waters,18,3,166,4,5,5,455
Fernando Cronin,54,2,139,2,4,5,245
Ferrell Brown PhD,18,2,95,4,4,4,444
Ferris Purdy Jr.,73,1,27,1,1,1,111
Fidel Hudson,50,1,39,2,1,1,211
Fidel Kilback,21,2,111,4,4,4,444
Fidelia Mertz,67,1,22,2,1,1,211
Fidencio King II,3,1,49,5,1,2,512
Fidencio Rath,6,1,69,5,1,3,513
Fielding Becker,51,1,25,2,1,1,211
Fielding Schowalter IV,52,2,142,2,4,5,245
Filomena Macejkovic,32,1,49,3,1,2,312
Finis Hettinger,82,1,50,1,1,2,112
Finley Emard,39,1,60,3,1,3,313
Finley Larkin II,60,1,48,2,1,2,212
Finn Carter,57,1,73,2,1,3,213
Finn Pollich,16,2,57,4,4,2,442
Finn Roob,13,2,69,4,4,3,443
Finnegan Franecki,26,1,25,4,1,1,411
Finnegan Hickle,6,2,71,5,4,3,543
Fiona Bednar,5,1,35,5,1,1,511
Fiona Kertzmann,80,1,52,1,1,2,112
Fiona Rolfson,12,1,33,4,1,1,411
Firman VonRueden,59,1,37,2,1,1,211
Fisher Russel,26,1,50,4,1,2,412
Fleda Bauch,47,1,79,2,1,4,214
Fleet Feeney,3,3,117,5,5,4,554
Fleeta Bode,59,2,146,2,4,5,245
Flem Kozey,12,2,104,4,4,4,444
Flem Thompson,82,1,56,1,1,2,112
Fleta Cummings MD,3,2,78,5,4,4,544
Fleta Legros,6,6,344,5,5,5,555
Flint Eichmann III,19,2,100,4,4,4,444
Flint Ziemann,12,2,94,4,4,4,444
Flo Gulgowski,19,6,313,4,5,5,455
Flo Murray,11,1,24,4,1,1,411
Flora Stiedemann,32,1,62,3,1,3,313
Florence Larkin,6,4,154,5,5,5,555
Florencio Funk,48,1,80,2,1,4,214
Florencio Gottlieb,8,1,40,5,1,2,512
Florencio Hansen,43,3,80,3,5,4,354
Florencio Howell,12,2,111,4,4,4,444
Florencio Schaden,2,1,32,5,1,1,511
Florene Sporer DDS,73,1,24,1,1,1,111
Florentino Deckow,71,1,45,1,1,2,112
Florentino Dooley,53,1,66,2,1,3,213
Floretta McGlynn PhD,67,1,79,2,1,4,214
Florida Kozey,2,2,121,5,4,4,544
Florida Schoen,61,1,55,2,1,2,212
Florie Hartmann,12,5,262,4,5,5,455
Florie O'Kon DVM,45,1,59,3,1,3,313
Florine Funk,54,1,34,2,1,1,211
Florine Hagenes MD,20,2,83,4,4,4,444
Florine Jones,80,1,47,1,1,2,112
Florine Rice,0,4,181,5,5,5,555
Florrie Little,10,1,42,5,1,2,512
Florrie Tromp,68,1,37,1,1,1,111
Floy Krajcik,60,1,24,2,1,1,211
Floyd Lind,44,1,26,3,1,1,311
Foch Douglas,12,3,155,4,5,5,455
Ford Bruen,6,2,112,5,4,4,544
Forest Barton MD,47,2,100,2,4,4,244
Forest Cole,81,1,23,1,1,1,111
Forest Donnelly,42,2,74,3,4,3,343
Forest Pouros,85,3,100,1,5,4,154
Forrest Bruen,4,6,313,5,5,5,555
Forrest Murazik,5,5,282,5,5,5,555
Foster Legros PhD,1,1,50,5,1,2,512
Foster Schinner Jr.,5,1,50,5,1,2,512
Fount Flatley,46,3,128,2,5,5,255
Foy Ankunding,4,1,64,5,1,3,513
Foy Crooks,46,1,34,2,1,1,211
Foy Heidenreich,72,4,181,1,5,5,155
Foy Simonis,10,3,160,5,5,5,555
Franc Grant,4,3,187,5,5,5,555
Frances Cummings IV,47,1,31,2,1,1,211
Frances Parisian,4,2,103,5,4,4,544
Francesca Lang,73,1,33,1,1,1,111
Francesca Runolfsdottir,12,3,137,4,5,5,455
Francesco Becker,38,1,37,3,1,1,311
Francesco Block,5,6,346,5,5,5,555
Francesco Larkin,42,1,51,3,1,2,312
Francies Berge,2,2,86,5,4,4,544
Francies Satterfield,5,6,246,5,5,5,555
Francina Friesen,46,1,78,2,1,4,214
Francina Schaden,59,1,20,2,1,1,211
Francis Gutmann,75,2,136,1,4,5,145
Francis Lind,36,1,56,3,1,2,312
Francis Sipes,19,2,77,4,4,4,444
Francisca Bins MD,20,6,335,4,5,5,455
Francisca Stehr,5,1,68,5,1,3,513
Francisquita Heidenreich,17,1,57,4,1,2,412
Francisquita Huel DVM,24,4,193,4,5,5,455
Franco Abbott,4,6,328,5,5,5,555
Franco Goldner,45,3,144,3,5,5,355
Frank Torphy PhD,30,1,75,3,1,3,313
Frankie DuBuque,20,1,44,4,1,2,412
Frankie Effertz IV,73,1,68,1,1,3,113
Frankie Little,42,1,76,3,1,4,314
Frankie Reichert,47,1,76,2,1,4,214
Franklin Considine,41,1,74,3,1,3,313
Franklyn Stanton,34,2,101,3,4,4,344
Franz Lowe,47,2,85,2,4,4,244
Franz Mohr,86,4,217,1,5,5,155
Franz Powlowski,52,1,39,2,1,1,211
Frazier Gusikowski,73,1,69,1,1,3,113
Frazier Hauck,44,2,136,3,4,5,345
Frazier Stehr,50,1,32,2,1,1,211
Fred Mraz,46,1,63,2,1,3,213
Fred Pouros,16,2,146,4,4,5,445
Freda Krajcik,28,1,73,3,1,3,313
Freddie Jast,14,2,82,4,4,4,444
Freddie Reilly,33,2,75,3,4,3,343
Freddie Veum,74,1,28,1,1,1,111
Freddy Thompson,66,1,65,2,1,3,213
Freddy Ullrich,18,1,41,4,1,2,412
Frederic Bergstrom,11,2,103,4,4,4,444
Frederica Purdy,45,1,44,3,1,2,312
Frederica Zieme DDS,42,1,43,3,1,2,312
Frederick Hilpert,31,1,57,3,1,2,312
Frederick Legros,38,1,43,3,1,2,312
Frederick Rippin,4,1,67,5,1,3,513
Fredericka Boyer,63,1,65,2,1,3,213
Fredric Grady V,81,1,78,1,1,4,114
Fredrick Eichmann,31,1,21,3,1,1,311
Fredy Funk,66,1,73,2,1,3,213
Fredy Gibson,34,3,178,3,5,5,355
Freeda Kessler,44,1,54,3,1,2,312
Freida Bosco,5,2,74,5,4,3,543
Freida Kling,45,1,69,3,1,3,313
Freida Prosacco,3,1,31,5,1,1,511
Fremont Barrows,16,1,36,4,1,1,411
Fremont Christiansen,15,12,588,4,5,5,455
Fremont Turcotte,6,3,127,5,5,5,555
Frida Stracke,31,3,127,3,5,5,355
Frieda Mills,48,1,50,2,1,2,212
Friend Nienow,12,2,90,4,4,4,444
Friend Stracke,6,1,66,5,1,3,513
Fritz Romaguera,6,6,353,5,5,5,555
Fritz Schiller,78,1,80,1,1,4,114
Frona Wolff,73,1,29,1,1,1,111
Fuller Ziemann,40,2,81,3,4,4,344
Furman Brakus,11,3,160,4,5,5,455
Furman Purdy,6,2,70,5,4,3,543
Gabe Dicki,45,4,209,3,5,5,355
Gabe Wintheiser,81,2,103,1,4,4,144
Gabriel Schiller,2,1,72,5,1,3,513
Gabriela Senger,35,5,164,3,5,5,355
Gabriella Sauer,42,1,37,3,1,1,311
Gabriella Wilderman,35,1,27,3,1,1,311
Gabrielle Grant,5,2,78,5,4,4,544
Gaetano Block Jr.,6,2,92,5,4,4,544
Gail Kassulke,53,1,60,2,1,3,213
Gail Mills,21,2,101,4,4,4,444
Gaines Spinka,2,1,44,5,1,2,512
Gaither Herman,46,1,40,2,1,2,212
Gale Deckow II,81,1,34,1,1,1,111
Gale Hagenes,4,5,271,5,5,5,555
Gale Heidenreich,33,2,121,3,4,4,344
Gale Kiehn I,6,4,201,5,5,5,555
Galen Howe,41,3,100,3,5,4,354
Galen Sauer,88,1,29,1,1,1,111
Galilea Borer,6,1,48,5,1,2,512
Galilea Rowe,44,1,69,3,1,3,313
Galilea Weber,12,2,106,4,4,4,444
Gannon Gutkowski,5,1,53,5,1,2,512
Gannon Schuster,12,2,92,4,4,4,444
Gannon Ullrich,34,2,78,3,4,4,344
Gardner Kling,5,5,210,5,5,5,555
Gardner Ortiz,85,1,24,1,1,1,111
Garett Corkery,55,1,42,2,1,2,212
Garett Gusikowski,56,1,52,2,1,2,212
Garfield Hammes,20,4,203,4,5,5,455
Garfield Walter,75,1,60,1,1,3,113
Garfield Yundt,72,1,57,1,1,2,112
Garland Keebler,81,1,46,1,1,2,112
Garland Russel,27,4,135,3,5,5,355
Garnet Friesen PhD,49,1,78,2,1,4,214
Garnet Hermiston,29,4,231,3,5,5,355
Garnett Flatley,46,1,22,2,1,1,211
Garnett Gerlach,2,3,120,5,5,4,554
Garnett Grady,74,1,42,1,1,2,112
Garold Roberts,46,1,22,2,1,1,211
Garold Waelchi DDS,8,1,36,5,1,1,511
Garret Renner,85,1,29,1,1,1,111
Garrett Gutkowski,44,1,29,3,1,1,311
Garrett Koss,0,10,515,5,5,5,555
Garrett Nienow,47,1,39,2,1,1,211
Garrison Barrows V,86,1,20,1,1,1,111
Garrison Kling,19,1,47,4,1,2,412
Garrison Sawayn,4,11,635,5,5,5,555
Garry Franecki PhD,19,2,146,4,4,5,445
Garry Gibson,89,1,52,1,1,2,112
Garth Cormier Sr.,73,1,34,1,1,1,111
Garth Hamill,27,1,63,3,1,3,313
Garvin Kuhn,28,2,76,3,4,4,344
Gary Bednar,69,2,93,1,4,4,144
Gary Bergstrom,12,2,126,4,4,5,445
Gasper Buckridge,2,10,467,5,5,5,555
Gasper Pouros,12,2,82,4,4,4,444
Gasper Robel,89,1,37,1,1,1,111
Gaston Murazik,6,2,135,5,4,5,545
Gaven Senger,12,2,129,4,4,5,445
Gavin Purdy,5,4,197,5,5,5,555
Gavin Sporer V,8,1,44,5,1,2,512
Gay Fritsch,3,3,110,5,5,4,554
Gay Jacobs,57,1,23,2,1,1,211
Gay Vandervort DVM,3,7,352,5,5,5,555
Gaye Cormier,77,1,68,1,1,3,113
Gayla Wolff,37,1,59,3,1,3,313
Gayle Kuphal,27,2,126,3,4,5,345
Gaylen Kiehn,9,1,21,5,1,1,511
Gaylen McLaughlin,18,1,63,4,1,3,413
Gaylene Abernathy,12,2,88,4,4,4,444
Gaylene Casper,34,1,62,3,1,3,313
Gaylon Hills,46,3,192,2,5,5,255
Gaylord Olson,1,3,168,5,5,5,555
Gaynell Hickle,2,5,265,5,5,5,555
Gaynell Shanahan,11,5,273,4,5,5,455
Gearld Harvey,59,1,47,2,1,2,212
Gearld Johnston,37,1,29,3,1,1,311
Gearld Kilback,62,1,40,2,1,2,212
Gearld Morissette,41,3,124,3,5,5,355
Gearldine Hermiston,55,1,76,2,1,4,214
Gearldine Howell,18,1,78,4,1,4,414
Geary Windler,6,2,70,5,4,3,543
Gee Nitzsche,19,1,28,4,1,1,411
Gee Schuppe,69,2,88,1,4,4,144
Gee Wilderman,6,1,51,5,1,2,512
Gemma Spinka DVM,40,1,26,3,1,1,311
Gena Pacocha MD,66,1,60,2,1,3,213
Genaro Bogan,40,1,55,3,1,2,312
Genaro Keebler,74,2,68,1,4,3,143
Gene D'Amore,50,1,46,2,1,2,212
Gene Okuneva,14,2,85,4,4,4,444
Genesis Sawayn,22,1,25,4,1,1,411
Genesis Trantow,76,1,65,1,1,3,113
Geneva Franecki,47,1,27,2,1,1,211
Geneva Mitchell,24,1,71,4,1,3,413
Geneva Schinner,26,3,150,4,5,5,455
Geneva Stokes,67,1,66,2,1,3,213
Geneva Zieme,21,5,258,4,5,5,455
Genevieve Halvorson,47,2,116,2,4,4,244
Genevieve Hammes,67,1,29,2,1,1,211
Genie Berge V,53,2,109,2,4,4,244
Genie DuBuque DVM,24,1,44,4,1,2,412
Genie Wisozk,27,1,76,3,1,4,314
Gennaro Hills,65,1,40,2,1,2,212
Geno Batz PhD,5,2,78,5,4,4,544
Geno Roob MD,13,5,271,4,5,5,455
Geno Sauer,45,1,74,3,1,3,313
Geno Tillman,17,1,46,4,1,2,412
Geo Aufderhar,12,2,97,4,4,4,444
Geo Dicki,84,1,45,1,1,2,112
Geo Feeney,47,4,211,2,5,5,255
Geo Kovacek,31,1,76,3,1,4,314
Geo Lindgren,47,1,65,2,1,3,213
Geo Wehner,38,2,73,3,4,3,343
Geoff Beer,6,5,338,5,5,5,555
Geoff Macejkovic,82,3,165,1,5,5,155
Geoffrey Miller,11,1,41,4,1,2,412
Geoffrey Miller DDS,46,1,40,2,1,2,212
Geoffrey Pacocha Sr.,20,3,160,4,5,5,455
Geoffrey Reichert,20,2,80,4,4,4,444
Geoffrey Rowe,11,2,83,4,4,4,444
Geoffrey Sanford I,29,1,49,3,1,2,312
Georganna Hirthe,88,1,74,1,1,3,113
Georganna Smitham,14,2,110,4,4,4,444
George Cole,43,2,67,3,4,3,343
George Cruickshank II,84,1,40,1,1,2,112
George Shields,61,1,49,2,1,2,212
Georgeann Toy,12,2,93,4,4,4,444
Georgeanna Koss PhD,18,4,163,4,5,5,455
Georgeanna Monahan DDS,54,3,176,2,5,5,255
Georgeanna Morissette,47,1,38,2,1,1,211
Georgene Aufderhar PhD,62,1,33,2,1,1,211
Georgene Goyette,81,1,75,1,1,3,113
